Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.417082061,1.845518808,2.03904,0.918022208,0.395882353,0.01268373,0.896972577
1960,2.561936046,1.853711559,1.50804,0.899128548,1.156470588,0.0138388,0.83816967
1961,2.570268187,1.862120308,1.65672,0.754059887,0.611176471,0.014726464,1.395705674
1962,2.661041666,1.790598926,1.18944,0.800368726,1.155294118,0.015871007,1.290666742
1963,2.803363645,1.651861984,1.21068,0.981130065,1.060588235,0.016862708,1.185964621
1964,2.955474229,1.564111212,1.04076,1.176316404,1.551176471,0.018451229,0.732881337
1965,3.088764443,1.417172571,2.3364,1.270941493,0.286470588,0.019485973,0.59263896
1966,3.238499289,1.34886568,2.3364,1.239891582,1.347058824,0.020914842,-0.356900278
1967,3.34144256,1.372222835,1.29564,1.105465421,1.634117647,0.021952477,0.65648985
1968,3.523447741,1.379532313,2.10276,1.11327176,2.404117647,0.023532643,-0.740701997
1969,3.757251816,1.292424376,2.80368,1.19702185,0.581176471,0.024966522,0.442831349
1970,4.065929884,1.286514346,2.40012,1.092049439,0.511764706,0.026489823,1.322020262
1971,4.229876276,1.273134384,1.55052,1.146879528,2.421764706,0.02799151,0.355854917
1972,4.427170379,1.276301568,3.12228,1.386105867,1.134705882,0.030485451,0.029894747
1973,4.661242384,1.238637085,3.10104,1.340277206,1.616470588,0.032610441,-0.190518766
1974,4.642356554,1.192265824,1.44432,1.262374795,3.770588235,0.033395811,-0.676056463
1975,4.65242828,1.417017783,2.61252,1.205952384,2.448235294,0.034104432,-0.231366048
1976,4.908289533,1.301928042,2.06028,1.330384973,2.934117647,0.036066968,-0.150632013
1977,5.047633958,1.26728447,4.07808,1.448340062,1.608235294,0.038465278,-0.858202206
1978,5.204084928,1.153955075,2.73996,1.494296402,2.654705882,0.041111291,-0.572033571
1979,5.352079075,1.160741763,4.54536,1.406613991,1.364117647,0.04259889,-0.845869691
1980,5.32003644,1.130973331,3.63204,1.66682533,0.454117647,0.043860727,0.654166067
1981,5.192934001,1.177646398,2.46384,1.666856669,2.241176471,0.044740826,-0.046033567
1982,5.151681298,1.155481821,2.08152,1.815808008,1.54,0.045586188,0.824248923
1983,5.185052281,1.27215875,3.9294,1.954880597,0.291176471,0.047107128,0.234646835
1984,5.364824474,1.411811426,2.61252,1.840390686,2.67,0.048557117,-0.394831903
1985,5.545164717,1.337713242,3.48336,1.723412025,2.547647059,0.049960639,-0.921501764
1986,5.627626544,1.317746651,2.124,1.754049614,2.161176471,0.052336417,0.853810694
1987,5.804092395,1.263665666,5.64984,1.850043454,0.381176471,0.054798024,-0.868099888
1988,6.032041345,1.229257241,4.63032,1.768017293,2.071764706,0.058076626,-1.266880038
1989,6.115401888,1.188241,3.14352,1.738237382,3.412352941,0.058036534,-1.048503969
1990,6.208944967,1.173356413,2.5488,1.917606955,2.225882353,0.05750387,0.632508202
1991,6.342276787,1.149586755,1.593,2.003816801,2.023529412,0.061053217,1.810464112
1992,6.159831954,1.198579849,1.50804,2.167586131,2.123529412,0.061916219,1.497340042
1993,6.223661394,1.17172269,2.63376,2.118310805,2.816470588,0.066167605,-0.239324915
1994,6.267626463,1.314115346,3.52584,1.976489562,1.484705882,0.069813709,0.524892655
1995,6.401185713,1.300821215,4.22676,1.950802342,1.59,0.073664287,-0.139219701
1996,6.592511246,1.321238411,2.25144,1.952112999,3.061764706,0.076577975,0.571853977
1997,6.632246297,1.820590213,4.20552,2.068941793,3.058235294,0.079486562,-0.959347139
1998,6.606515085,1.401314946,6.03216,2.135530976,1.57,0.080461869,-1.810322814
1999,6.69185652,1.384558442,2.84616,1.947954785,3.381176471,0.083429614,-0.182305908
2000,6.887065298,1.238342403,2.63376,1.871352872,3.516470588,0.086772776,0.017051464
2001,6.946248498,1.136712284,3.90816,1.791572012,2.402941176,0.089617012,-0.109329419
2002,7.106766233,1.287697919,5.05512,2.129743961,1.020588235,0.094394431,0.094617524
2003,7.469083868,1.39010841,4.86396,2.265832692,2.164117647,0.101384393,-0.536102455
2004,7.81319133,1.248988591,3.2922,2.21097463,3.257647059,0.108448523,0.192909709
2005,8.079360588,1.118971864,5.22504,2.24537541,1.875882353,0.116054763,-0.264020073
2006,8.347033319,1.266371146,3.78072,2.346096343,2.939411765,0.126380984,0.420795374
2007,8.59545349,1.104420304,4.50288,2.31720572,2.63,0.136211088,0.113576986
2008,8.752577513,1.129604554,3.75948,2.307114317,3.358235294,0.140967478,0.316384978
2009,8.626376204,1.23614657,3.35592,2.448430246,2.671764706,0.148333776,1.238074046
2010,9.100245757,1.167811518,5.11884,2.440602218,3.107058824,0.157597333,-0.5560411
2011,9.407328342,1.318542013,3.58956,2.490190306,3.941176471,0.170529021,0.534414558
2012,9.545326186,1.276320911,5.11884,2.550226747,2.391176471,0.177551055,0.583852824
2013,9.629646682,1.17816299,5.18256,2.601800191,3.257647059,0.185995765,-0.420193343
2014,9.698264998,1.245549891,4.3542,2.720979862,3.604117647,0.194189293,0.070328087
2015,9.687883826,1.301011407,6.2658,2.785053571,2.146470588,0.196215146,-0.404644072
2016,9.675889546,1.010800906,6.01092,2.93415469,2.8,0.199106369,-1.257490607
