Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1959,2417.082061,1350.331111,792.9507153,206.8972099,39.61533809,25.02552734,2.262158843,0.811216734
1960,2561.936046,1406.031937,853.4195249,227.7130026,42.93550021,24.32866062,7.507420512,0.84414447
1961,2570.268187,1348.886839,904.4310144,240.6644323,44.78000047,23.5314053,7.974495124,0.831306042
1962,2661.041666,1344.951862,972.2126227,264.0428332,48.11823906,23.45272781,8.26338167,0.844662297
1963,2803.363645,1394.443709,1039.158429,285.6473516,50.74691522,24.7014704,8.665769979,0.873049755
1964,2955.474229,1423.183489,1121.121554,314.5833073,56.2550049,30.78380656,9.547066853,0.902716489
1965,3088.764443,1444.546534,1204.3397,335.7880441,59.06429856,35.60120403,9.424662207,0.924895081
1966,3238.499289,1460.307054,1299.645827,365.6124422,63.59253838,39.4558096,9.885617862,0.95028545
1967,3341.44256,1437.089199,1385.634849,391.0206089,65.47559,52.06957704,10.15273627,0.96052415
1968,3523.447741,1452.700509,1509.297388,425.5775456,69.71689495,55.62234116,10.53306172,0.992073602
1969,3757.251816,1506.933668,1632.173119,466.2264135,73.93208605,66.60339287,11.38313656,1.036288687
1970,4065.929884,1554.588202,1856.030917,488.6366982,78.76610344,75.80374344,12.10421968,1.098770181
1971,4229.876276,1555.546566,1965.577189,527.5683982,81.2771006,87.71777086,12.18925089,1.120271602
1972,4427.170379,1553.861905,2119.377105,559.9598726,86.18994239,94.66137944,13.1201739,1.149421702
1973,4661.242384,1597.650529,2266.043072,582.391272,91.32034207,109.7468085,14.09036122,1.186737063
1974,4642.356554,1600.993623,2234.03368,594.8405365,91.39078296,106.7999847,14.29794698,1.159489313
1975,4652.42828,1640.27452,2214.685119,601.8005895,90.91470798,91.87966779,12.87367619,1.140446231
1976,4908.289533,1717.362303,2334.33258,640.1656142,94.87414668,107.9040306,13.65085769,1.18139184
1977,5047.633958,1754.829581,2423.120688,652.6182877,99.40712995,104.0960885,13.56218322,1.193433438
1978,5204.084928,1800.579203,2496.887385,680.6161723,105.5896617,106.472604,13.93990218,1.208977681
1979,5352.079075,1871.385042,2539.336336,721.599968,107.1553424,98.28364294,14.31874327,1.221794686
1980,5320.03644,1925.425097,2445.458246,741.6850195,107.9541252,86.35828112,13.15567012,1.193367485
1981,5192.934001,1920.786352,2332.905946,753.9297492,107.8301117,64.74389642,12.73794563,1.144575205
1982,5151.681298,1954.243777,2276.170302,737.188865,107.4614931,64.33156468,12.28529544,1.115713673
1983,5185.052281,2007.56534,2250.393965,745.8370634,109.9323831,58.14978577,13.17374325,1.103303717
1984,5364.824474,2102.722133,2273.937469,810.618423,112.2418886,51.04795906,14.25660175,1.121407074
1985,5545.164717,2250.843592,2274.184209,841.7802003,113.6513248,49.62015476,15.08523583,1.138422051
1986,5627.626544,2278.320561,2342.824444,825.2352986,118.5413399,46.4251425,16.27975792,1.134472231
1987,5804.092395,2357.355774,2365.384092,892.716174,123.7021165,44.62692587,20.30731209,1.1487515
1988,6032.041345,2437.971713,2450.508755,937.6104036,130.8149583,50.80064938,24.33486627,1.172311357
1989,6115.401888,2444.467376,2493.903969,977.7425062,134.2957841,41.32707824,23.66517467,1.167631528
1990,6208.944967,2378.464253,2515.900273,1048.443668,136.2378255,69.0717264,60.82722116,1.165510731
1991,6342.276787,2356.030929,2644.886339,1069.617553,139.8967962,73.0697074,58.77546223,1.171395961
1992,6159.831954,2301.408179,2507.405926,1081.550913,145.838488,64.75746315,58.87098541,1.12018945
1993,6223.661394,2328.117587,2510.553412,1110.838252,151.7214656,63.73352743,58.69715023,1.115032272
1994,6267.626463,2341.212915,2520.448909,1120.809633,161.710248,64.69032558,58.75443167,1.106738474
1995,6401.185713,2408.039406,2546.907212,1150.397245,171.0018636,64.15514508,60.68484128,1.114371235
1996,6592.511246,2469.531305,2622.215435,1201.367989,174.4153093,64.75402094,60.22718701,1.131782581
1997,6632.246297,2456.156612,2663.798896,1205.535805,179.8191759,66.28348522,60.65232348,1.123149004
1998,6606.515085,2391.285152,2688.417487,1225.256558,178.5839634,63.17591316,59.79601111,1.103883467
1999,6691.85652,2373.034829,2749.723518,1261.63773,186.975076,61.1119704,59.37339623,1.103494842
2000,6887.065298,2459.741278,2806.932499,1292.260494,195.8663918,73.59447643,58.67015804,1.121033974
2001,6946.248498,2473.474836,2831.451712,1305.327193,204.1160007,74.18756649,57.6911897,1.116288818
2002,7106.766233,2580.653777,2830.171855,1343.747271,215.2714472,78.30142456,58.62045824,1.12774072
2003,7469.083868,2797.753276,2910.462634,1390.935817,231.3558768,78.69159065,59.88467337,1.170485378
2004,7813.19133,2974.072759,3006.222036,1437.657899,247.5010133,84.94529983,62.79232229,1.209255315
2005,8079.360588,3157.774587,3030.884511,1472.190197,262.0829554,90.64637552,65.78196186,1.235016113
2006,8347.033319,3335.764851,3059.245252,1506.391677,285.8807982,91.01979279,68.73094831,1.260211496
2007,8595.45349,3496.544109,3069.44229,1557.256844,306.4191622,95.09323335,70.69785179,1.28176587
2008,8752.577513,3612.091973,3057.28246,1602.763667,310.7999209,98.91642153,70.72307067,1.289212429
2009,8626.376204,3566.361094,3001.978854,1572.074376,319.4558993,100.3138317,66.1921489,1.255153286
2010,9100.245757,3812.999868,3085.91503,1693.722826,340.522361,100.1878788,66.89779241,1.308103565
2011,9407.328342,4034.177017,3094.216847,1740.697574,366.6178701,96.69838416,74.92064894,1.336041578
2012,9545.326186,4080.157429,3138.405736,1776.073245,376.0517634,99.45539334,75.1826192,1.339539224
2013,9629.646682,4105.589509,3162.119398,1788.296243,392.6784745,100.9413385,80.02171871,1.335488136
2014,9698.264998,4111.054094,3174.736122,1817.722236,407.7108363,104.1110383,82.93067202,1.32938704
2015,9687.883826,4016.976696,3242.66672,1852.056449,392.2774387,101.6277049,82.27881769,1.312757471
2016,9675.889546,3919.385352,3263.979014,1901.56456,403.5911798,105.8109753,81.55846575,1.296337214
2017,9805.059412,3944.787579,3310.808035,1942.416522,409.5232816,115.4084293,82.11556603,1.299051759
2018,10001.67571,4016.961035,3326.980011,2035.363523,427.6036391,112.5046645,82.26283306,1.310648196
2019,10017.05865,3977.407044,3337.784336,2061.515779,438.9933841,118.6123144,82.74579571,1.298645243
2020,9499.797789,3814.437298,3021.970771,2019.516755,443.8785389,118.7318641,81.26256169,1.218735481
