Year,GCB,,,,H&N,,,BLUE,,,OSCAR,,,,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES-ES,LPJ-GUESS ,LPJ ,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,,MMM (multi-model mean),Model Spread (sd)
,Net,Gross Sink,Gross Source,,Net,Gross Sink,Gross Source,Net,Gross Sink,Gross Source,Net,Gross Sink,Gross Source,,,,,,,,,,,,,,,,,,,,,
1959,1.845518808,-1.747058205,3.592577013,,0.958036107,-1.699512216,2.657548322,2.768134317,-2.156509399,4.924643717,1.810386,-1.385153,3.195539,,1.91,0.93,2.86,2.12,1.41,2.91,1.79,1.66,1.53,1.91,2.6,1.45,2.53,1.43,1.82,2.58,1.93,,1.962941176,0.564056344
1960,1.853711559,-1.772913436,3.626624995,,0.982614361,-1.710570259,2.69318462,2.768134317,-2.212852478,4.980986795,1.810386,-1.39531757,3.20570357,,1.71,1.22,3.71,2.14,1.39,3.66,2.2,1.75,1.55,2.67,2.82,2.05,3.24,1.91,2.55,3.39,2.43,,2.375882353,0.780865376
1961,1.862120308,-1.800034564,3.662154872,,1.007840606,-1.723008098,2.730848704,2.768134317,-2.232803345,5.000937662,1.810386,-1.44429225,3.25467825,,2.65,1,6.14,1.53,1.04,2.3,2.81,1.46,1.87,3.28,1.54,3.85,4.63,2.38,3.6,1.8,4.85,,2.748823529,1.463791662
1962,1.790598926,-1.82215987,3.612854194,,1.012433098,-1.732987803,2.745420902,2.570761881,-2.244888306,4.815936289,1.7886018,-1.4886035,3.277205392,,1.59,0.43,2.12,1.61,1.03,2.35,0.9,1.41,2.43,1.64,1.31,1.12,2.46,1.45,0.87,1.8,1.14,,1.509411765,0.584438519
1963,1.651861984,-1.840869396,3.49268769,,1.001098007,-1.743188154,2.744286161,2.308112345,-2.266204834,4.574186048,1.6463756,-1.5132152,3.159590859,,1.68,0.78,2.02,1.72,0.76,2.39,0.88,1.37,1.92,0.79,1.07,0.5,2.15,1.29,0.56,1.61,1.31,,1.341176471,0.583393974
1964,1.564111212,-1.853971259,3.418058129,,0.967559758,-1.755175486,2.722735244,2.144889078,-2.274421692,4.419237814,1.5798848,-1.5323166,3.11220133,,1.22,0.19,2.29,1.78,0.93,2.12,0.89,1.4,1.75,1.52,1.1,0.78,2.17,1.25,0.75,1.62,1.04,,1.341176471,0.570130274
1965,1.417172571,-1.878389056,3.295561223,,0.903766628,-1.767177151,2.670943779,1.855490885,-2.315307617,4.170797548,1.4922602,-1.5526824,3.044942343,,1.41,0.41,1.94,1.58,1.01,1.91,0.9,1.33,1.84,1.42,0.65,0.78,2.22,1.16,0.26,1.55,1.17,,1.267058824,0.554343809
1966,1.34886568,-1.892493469,3.241364624,,0.84813521,-1.778197715,2.626332925,1.761908731,-2.316650391,4.078575811,1.4365531,-1.5826323,3.019185135,,1.09,0.85,1.7,1.37,0.89,2.02,0.72,1.33,1.71,1.25,0.92,0.52,1.78,0.97,0.57,1.5,0.65,,1.167058824,0.46049925
1967,1.372222835,-1.898227365,3.270415495,,0.822902957,-1.785877736,2.608780693,1.848395548,-2.318199158,4.166490755,1.44537,-1.5906052,3.035975036,,1.12,0.59,1.82,1.6,1.11,1.77,0.71,1.26,1.76,1.62,1.09,0.73,1.83,1.01,0.54,1.73,1.12,,1.259411765,0.45541836
1968,1.379532313,-1.905684029,3.285233773,,0.765072505,-1.796678877,2.561751383,1.924933634,-2.321716309,4.246702394,1.4485908,-1.5986569,3.047247543,,1.19,0.52,1.96,1.58,1.07,2.41,1.12,1.44,1.7,2.04,1.14,0.71,2.06,1.04,0.86,1.54,1.44,,1.401176471,0.518096062
1969,1.292424376,-1.932709149,3.225170424,,0.764195493,-1.806641587,2.57083708,1.695594034,-2.370483398,4.066188536,1.4174836,-1.62100246,3.038485656,,0.97,0.73,1.86,1.54,0.92,2.49,1.05,1.38,1.58,1.83,1.11,0.7,2.02,1.16,1.22,1.51,1.5,,1.386470588,0.480311633
1970,1.286514346,-1.952620036,3.239123821,,0.747317444,-1.819467345,2.566784789,1.652991495,-2.403427124,4.056386671,1.4592341,-1.63496564,3.094200002,,1.11,1.17,1.6,1.39,1,1.81,0.68,1.39,1.59,1.31,1.24,0.72,1.83,1.01,0.74,1.64,0.7,,1.231176471,0.386618067
1971,1.273134384,-1.965643477,3.238750064,,0.729829874,-1.833909978,2.563739853,1.636557779,-2.424751282,4.061225615,1.4530155,-1.63826917,3.091284725,,1.3,1.21,1.79,1.71,1.12,1.82,0.57,1.29,1.79,2.04,1.29,0.95,1.88,1.01,0.99,1.58,0.99,,1.372352941,0.415670083
1972,1.276301568,-1.975381322,3.251701354,,0.691363939,-1.847763188,2.539127127,1.715613565,-2.413589478,4.129258833,1.4219272,-1.6647913,3.086718102,,1.21,1.12,1.74,1.05,1.01,1.7,0.51,1.25,1.67,1.82,1.17,0.75,1.53,0.82,0.4,1.41,0.96,,1.183529412,0.42458717
1973,1.238637085,-2.000366797,3.239047056,,0.646963239,-1.862966401,2.50992964,1.636100016,-2.444442749,4.080671988,1.432848,-1.69369124,3.12653954,,0.89,1.35,1.92,1.66,0.8,1.88,0.75,1.32,1.62,1.85,1.21,0.61,1.47,1.04,1.11,1.53,1.17,,1.304705882,0.408122495
1974,1.192265824,-2.002059805,3.194258946,,0.62724241,-1.877135245,2.504377655,1.532187662,-2.45035553,3.982343397,1.4173674,-1.67868864,3.096055785,,1.3,0.63,1.88,1.78,1.24,2.25,0.75,1.37,1.83,2.5,1.38,0.84,1.88,1.23,0.69,1.47,1.25,,1.427647059,0.538278847
1975,1.417017783,-2.009544844,3.426605305,,0.619885648,-1.888217002,2.50810265,2.027915201,-2.43598938,4.464032373,1.6032525,-1.70442815,3.30768089,,1.39,0.86,1.81,1.47,0.84,1.9,0.63,1.54,1.77,1.79,1.68,0.41,2.09,0.85,1.19,1.81,1.12,,1.361764706,0.502036295
1976,1.301928042,-2.021318498,3.323224927,,0.599991768,-1.900723148,2.500714917,1.760825357,-2.461738586,4.222499094,1.544967,-1.70149376,3.24646077,,1.59,1.82,2.7,1.58,0.94,2.6,1.21,1.32,1.78,2.12,1.65,1.01,2.34,1.2,1.56,1.71,2.76,,1.758235294,0.571163673
1977,1.26728447,-2.039460504,3.306707567,,0.580686669,-1.916636828,2.497323497,1.775901041,-2.462387085,4.238176069,1.4452657,-1.7393576,3.184623133,,1.12,0.46,1.97,1.02,0.57,1.7,0.75,1.42,1.71,1.08,1.35,0.41,1.71,0.65,1.03,1.59,1.12,,1.156470588,0.481922468
1978,1.153955075,-2.048131304,3.202161334,,0.555091478,-1.930976029,2.486067507,1.554038248,-2.463424683,4.017687521,1.3527355,-1.7499932,3.102728973,,1.14,1.64,1.86,1.46,1.12,2.34,0.9,1.14,1.83,2.2,1.37,1.02,1.81,1.05,1.12,1.55,1.27,,1.46,0.428471119
1979,1.160741763,-2.059596313,3.220308958,,0.506656866,-1.945392379,2.452049245,1.612326822,-2.46031189,4.072550974,1.3632416,-1.77308467,3.136326657,,1.2,0.43,1.43,1.45,1.04,1.83,0.68,1.81,1.78,1.37,1.15,0.64,1.75,0.7,0.69,1.67,0.94,,1.209411765,0.471320891
1980,1.130973331,-2.073195118,3.204195373,,0.488535945,-1.962794776,2.451330721,1.556296549,-2.478477478,4.034855089,1.3480875,-1.7783131,3.12640031,,1.48,0.8,1.95,0.94,0.89,1.79,0.9,1.45,1.58,0.89,1.11,0.76,1.86,0.75,0.75,1.74,1.47,,1.241764706,0.438950955
1981,1.177646398,-2.078126968,3.255716647,,0.517565711,-1.975382653,2.492948364,1.682700623,-2.46962738,4.15215825,1.332672859,-1.78937087,3.122043327,,1.13,0.6,1.63,1.59,1.06,2.15,0.85,1.74,1.85,1.51,1.33,0.72,1.58,0.98,0.89,1.64,1.19,,1.32,0.436018922
1982,1.155481821,-2.085408423,3.240916861,,0.534926191,-1.988579663,2.523505854,1.630733454,-2.479393005,4.110206091,1.300785818,-1.7882526,3.089038638,,1.27,1.5,1.86,1.24,1.02,2.46,1.11,1.76,2.14,1.74,1.37,0.7,1.8,1.06,0.83,1.68,1.46,,1.470588235,0.46755308
1983,1.27215875,-2.092567365,3.364740675,,0.574587613,-1.998958003,2.573545617,1.89937396,-2.464317322,4.36373515,1.342514676,-1.81442677,3.156941256,,0.99,1.01,2.01,1.6,1.17,2.4,0.87,2.05,1.85,0.58,1.31,0.87,1.42,0.67,1.05,1.98,1.15,,1.351764706,0.540118451
1984,1.411811426,-2.088154714,3.499948192,,0.650298153,-2.005697302,2.655995455,2.14150469,-2.455757141,4.597207949,1.443631435,-1.8030097,3.246641172,,1.54,1.23,1.97,1.75,1.2,3.14,1.42,2.03,1.87,2.08,1.55,1.04,2.04,1.14,0.8,2.03,1.76,,1.681764706,0.548306886
1985,1.337713242,-2.095109332,3.432777954,,0.669131941,-2.009740369,2.678872309,1.93895379,-2.463851929,4.402671728,1.405053994,-1.8117357,3.216789824,,1.11,0.97,2.2,1.58,1.16,3.26,1.36,1.98,2.05,2.51,1.38,1.17,2.1,1.44,1.71,1.86,2,,1.755294118,0.587251199
1986,1.317746651,-2.115701576,3.433516576,,0.721813663,-2.018430555,2.740244218,1.871910937,-2.483581543,4.355697997,1.359515353,-1.84509263,3.204607513,,1.14,1.17,2.28,1.32,1.17,2.58,0.91,1.93,2.21,1.91,1.32,0.93,1.87,1.14,1.14,1.64,1.16,,1.518823529,0.514925751
1987,1.263665666,-2.138009202,3.401680242,,0.769272309,-2.026273796,2.795546105,1.711962576,-2.51171875,4.223697538,1.309762112,-1.87603506,3.185797082,,1.05,1.26,2,1.58,1.06,2.32,0.73,1.81,1.84,1.06,1.04,0.81,1.67,0.82,0.83,1.5,0.9,,1.310588235,0.484683796
1988,1.229257241,-2.153372485,3.382582025,,0.787805877,-2.037390452,2.82519633,1.621573775,-2.532341003,4.153771728,1.278392071,-1.890386,3.168778017,,1.13,0.76,1.82,1.3,1.07,2.5,0.55,1.82,1.9,0.84,0.94,0.6,1.5,0.96,1.02,1.73,0.66,,1.241176471,0.552130899
1989,1.188241,-2.166130778,3.354339257,,0.747822855,-2.055992293,2.803815147,1.542008715,-2.55254364,4.094454603,1.274891429,-1.8898564,3.164748019,,0.99,1.27,1.76,1.83,1.12,2.76,0.77,1.95,2.11,1.91,0.85,0.41,1.85,1.05,0.93,1.7,0.85,,1.418235294,0.617780658
1990,1.173356413,-2.193911512,3.367371759,,0.803383181,-2.079745275,2.883128456,1.470111768,-2.589561462,4.059984605,1.246574289,-1.9124278,3.159002217,,0.93,1.98,1.86,1.41,1.07,2.45,0.85,1.69,1.89,1.72,1.17,0.52,1.55,0.72,0.93,1.54,0.79,,1.357058824,0.536362339
1991,1.149586755,-2.216591331,3.366122542,,0.869126398,-2.108639925,2.977766323,1.30909452,-2.636009216,3.94493732,1.270539348,-1.90512485,3.175663982,,1.14,1.68,1.74,1.16,0.88,2.29,0.71,1.5,1.89,1.22,1.09,0.54,1.6,1.02,0.61,1.55,0.34,,1.232941176,0.527740049
1992,1.198579849,-2.235037027,3.433667995,,0.939982012,-2.137551664,3.077533676,1.386541627,-2.654144287,4.040839456,1.269215907,-1.91341513,3.182630853,,0.85,0.4,1.49,1.48,0.85,2.2,0.83,1.39,2.1,1.9,1.04,0.76,1.74,0.83,0.63,1.73,0.12,,1.196470588,0.609312535
1993,1.17172269,-2.25298595,3.424680889,,0.987040573,-2.162178323,3.149218895,1.301482632,-2.673309326,3.974708988,1.226644866,-1.9234702,3.150114784,,0.77,-0.06,1.99,1.56,0.94,2.28,0.8,1.32,1.85,2.16,1.06,0.86,1.43,1.18,0.67,1.5,0.46,,1.221764706,0.631350094
1994,1.314115346,-2.279363535,3.593487658,,1.038718537,-2.186896126,3.225614663,1.571594893,-2.69960022,4.271221816,1.332032608,-1.95159426,3.283626494,,0.88,0.67,1.83,0.54,0.62,2.27,0.42,1.36,1.73,0.77,1.19,0.09,1.72,0.86,0.8,1.78,0.43,,1.056470588,0.62019091
1995,1.300821215,-2.311641756,3.612417684,,1.021977813,-2.214186717,3.23616453,1.544309862,-2.730728149,4.274902112,1.336175969,-1.9900104,3.326186409,,1.19,1.46,3.13,1.3,0.78,2.99,1.08,1.6,1.73,1.52,1.02,0.7,2.01,1.16,1.61,1.72,1.2,,1.541176471,0.668046428
1996,1.321238411,-2.313699284,3.634926376,,1.026629876,-2.241531596,3.268161472,1.581828596,-2.727233887,4.309028628,1.35525676,-1.97233237,3.32758903,,1.17,1.42,2.35,1.58,1.04,2.44,0.79,1.5,1.8,2.5,1.26,0.91,1.77,1.09,1.29,1.76,1.03,,1.511764706,0.530945328
1997,1.820590213,-2.33830494,4.158896921,,1.53532192,-2.268075084,3.803397004,2.07320127,-2.739479065,4.81268558,1.85324745,-2.00736067,3.86060818,,1,1.73,2.52,1.25,1.01,2.39,0.89,1.65,1.88,1.88,1.37,0.88,1.66,0.94,1.39,1.72,1.27,,1.495882353,0.498435789
1998,1.401314946,-2.365987607,3.767331384,,0.993430069,-2.294254288,3.287684357,1.777443756,-2.751731873,4.529263367,1.433071012,-2.05197666,3.485046428,,1.03,0.96,3.09,1.36,0.63,2.21,1.16,2.18,1.45,1.23,1.44,0.54,1.91,0.95,1.24,1.82,1.36,,1.444705882,0.637770704
1999,1.384558442,-2.378319712,3.762931272,,0.97745178,-2.316539521,3.293991301,1.676439197,-2.776000977,4.452599914,1.49978435,-2.04241864,3.542202602,,1.62,0.84,3.69,1.35,0.85,2.74,1.26,2.03,1.93,1.88,1.45,1,2.59,1.53,1.79,1.97,1.95,,1.792352941,0.724245551
2000,1.238342403,-2.412867099,3.651219158,,0.88184576,-2.335929566,3.217775326,1.446095362,-2.846755981,4.29288043,1.387086086,-2.05591575,3.443001716,,1.24,0.85,2.77,1.5,0.9,2.95,1.24,1.74,1.89,1.87,1.16,0.94,2.29,1.4,1.17,1.72,1.59,,1.601176471,0.614124197
2001,1.136712284,-2.44234262,3.579001017,,0.860049679,-2.352684406,3.212734085,1.28153602,-2.873443604,4.154818453,1.268551152,-2.10089985,3.369450512,,1.17,0.93,2.09,1.55,0.78,3.44,0.89,1.53,1.87,1.43,1.04,0.34,2.13,0.91,0.81,1.43,0.37,,1.335882353,0.757603614
2002,1.287697919,-2.466610595,3.754313073,,0.897977508,-2.369151364,3.267128872,1.561185672,-2.878509521,4.439709022,1.403930579,-2.1521709,3.556101325,,1.1,0.75,1.79,0.72,0.88,1.77,0.56,1.59,1.86,0.74,1.04,0.29,1.61,0.62,0.33,1.53,0.61,,1.046470588,0.536107979
2003,1.39010841,-2.489148656,3.879292012,,0.763341049,-2.382630841,3.14597189,1.905295435,-2.910202026,4.815602366,1.501688746,-2.1746131,3.67630178,,1,0.54,2.12,1.72,1.4,2.6,0.9,2.08,1.73,1.35,1.48,1.02,2.03,1.13,1.42,1.96,1.54,,1.530588235,0.527286338
2004,1.248988591,-2.507762709,3.756644906,,0.815906524,-2.396336789,3.212243313,1.53770368,-2.918121338,4.455506014,1.393355571,-2.20883,3.602185391,,1.48,0.85,3.9,1.61,1.58,2.91,1.43,1.89,1.84,3.09,1.27,1.46,2.41,1.09,2.1,1.62,2.21,,1.925882353,0.784060416
2005,1.118971864,-2.539390619,3.658448663,,0.82925457,-2.40795597,3.23721054,1.293268791,-2.960960388,4.254488101,1.234392233,-2.2492555,3.483647348,,1.21,2.09,2.16,1.56,1.06,2.58,0.63,1.51,1.77,1.01,1.05,0.3,1.75,0.96,1.19,1.45,0.74,,1.354117647,0.592263231
2006,1.266371146,-2.55379588,3.820125362,,0.995305162,-2.420004328,3.41530949,1.423918851,-2.971374512,4.395168431,1.379889424,-2.2700088,3.649898164,,1.17,1.32,1.63,1.28,0.94,2.21,0.58,1.65,1.79,1.31,1.16,0.45,1.82,0.74,0.91,1.67,0.45,,1.24,0.514890765
2007,1.104420304,-2.571851331,3.676332793,,0.833759249,-2.434043664,3.267802913,1.265269313,-2.989028931,4.254481826,1.21423235,-2.2924814,3.50671364,,1.07,1.53,1.94,1.54,0.96,2.33,0.79,1.8,1.8,1.4,1.11,0.29,1.8,0.94,0.87,1.72,1.08,,1.351176471,0.51964991
2008,1.129604554,-2.578147661,3.707689063,,0.868136649,-2.443928158,3.312064807,1.277847351,-3.002349854,4.2800079,1.242829663,-2.28816497,3.530994483,,1.18,1.36,1.97,1.6,1.3,2.56,0.53,2,1.95,2.08,1.29,0.95,2.11,0.92,0.91,1.73,1.11,,1.502941176,0.550814904
2009,1.23614657,-2.598204341,3.83434839,,1.0251282,-2.450525253,3.475653453,1.382269743,-3.010192871,4.392454985,1.301041768,-2.3338949,3.634936732,,1.07,0.77,1.8,1.65,1.03,2.19,0.73,1.78,1.67,1.79,1.21,0.66,1.97,0.69,0.83,1.64,1.22,,1.335294118,0.503985586
2010,1.167811518,-2.627915075,3.795742055,,0.96936727,-2.458518086,3.427885356,1.212920123,-3.076759338,4.289725715,1.32114716,-2.3484678,3.669615095,,1.14,0.78,2,2.02,1.7,2.56,0.76,2.03,1.35,1.44,1.29,0.73,1.65,0.85,1.22,1.7,1.12,,1.431764706,0.527508712
2011,1.318542013,-2.628726146,3.947327308,,0.972716643,-2.465068182,3.437784825,1.607845366,-3.050437927,4.658460677,1.375064031,-2.37067233,3.745736421,,1.35,1.1,1.86,1.84,1.04,2.6,0.81,1.9,1.72,2.76,1.55,0.75,2.07,0.99,0.83,1.93,0.66,,1.515294118,0.64259355
2012,1.276320911,-2.65094766,3.927212169,,0.949476911,-2.472954616,3.422431526,1.562055434,-3.080581665,4.642468298,1.317430388,-2.3993067,3.716736683,,1.32,0.8,3.69,1.14,0.92,2.51,0.59,1.76,1.83,0.98,1.26,0.46,2.45,1.25,1.11,1.61,2.23,,1.524117647,0.824280435
2013,1.17816299,-2.671723235,3.849871217,,0.926107682,-2.481520163,3.407627845,1.361108064,-3.109359741,4.470422982,1.247273226,-2.4242898,3.671562826,,1.15,1.46,1.99,2.05,1.59,2.46,0.9,1.88,1.91,2.2,1.46,0.61,1.76,0.71,1.7,1.64,1.53,,1.588235294,0.510664216
2014,1.245549891,-2.681634262,3.927233022,,0.999625977,-2.490484784,3.490110761,1.440322576,-3.099884033,4.540353475,1.296701121,-2.45453397,3.751234831,,1.16,1.42,1.92,1.71,1.77,2.33,0.5,1.64,1.87,2.6,1.37,0.87,1.57,0.68,0.68,1.43,0.86,,1.434117647,0.59028657
2015,1.301011407,-2.713849866,4.014801386,,1.076149242,-2.501045008,3.577194249,1.477552456,-3.139480591,4.616853756,1.349332523,-2.501024,3.850356153,,1.48,1.86,2.07,1.39,1.56,3.35,0.49,1.72,1.59,1.26,1.27,0.49,1.5,0.54,0.85,1.34,1.78,,1.443529412,0.684387876
2016,1.010800906,-2.725958378,3.736769161,,0.764233998,-2.515722966,3.279956964,1.15701683,-3.172012329,4.3290592,1.11115189,-2.49013984,3.60129132,,0.93,1.97,1.82,1.94,1.64,2.6,0.67,1.77,1.31,1.22,1.19,0.63,1.3,0.71,1.6,1.63,0.54,,1.380588235,0.568490002
2017,0.999694137,-2.734762331,3.734538698,,0.671460371,-2.531185543,3.202645914,1.213299564,-3.191925049,4.405471614,1.114322475,-2.4811764,3.595498565,,1.19,1.2,1.41,2.06,1.9,2.1,0.66,1.55,1.56,2.28,1.42,0.68,1.76,0.86,0.93,1.52,0.95,,1.413529412,0.500286683
2018,1.052821699,-2.740417696,3.79317862,,0.624363776,-2.546150188,3.170513963,1.334129637,-3.202606201,4.536554164,1.199971683,-2.4724967,3.672467733,,1.24,0.79,1.61,1.84,1.92,2.77,0.54,1.93,1.67,1.85,1.31,0.75,1.92,0.89,1.34,1.81,1.56,,1.514117647,0.559889038
2019,1.04405313,-2.750476686,3.794585423,,0.705702073,-2.557144378,3.262846451,1.245604003,-3.200119019,4.445889914,1.180853313,-2.49416666,3.675019903,,1.4,1.73,2.44,1.73,1.82,3.95,0.83,1.8,1.45,2.11,1.18,0.89,1.8,0.72,1.43,1.29,1.44,,1.647647059,0.74467719
2020,0.876089782,-2.762837819,3.638866686,,0.591340321,-2.563463564,3.154803885,1.051105712,-3.213287354,4.26420996,0.985823313,-2.51176254,3.497586213,,1.23,1.74,1.61,1.74,1.71,3.6,0.46,1.75,1.49,1.55,1.1,0.49,1.43,0.56,0.68,1.62,1.12,,1.404705882,0.730856669
