year,GCB,1 sigma uncertainty,,CESM-ETH,FESOM2-RECOM2,NEMO-PISCES (CNRM),NEMO-PISCES (IPSL),NEMO-PlankTOM12,NorESM-OC,MOM6-COBALT (Princeton),MPIOM-HAMOCC,,Multi-model mean,Model Spread (sd),,Landschutzer,Rodenbeck,CMEMS,Gracer,Iida,Zeng,CSIR,Watson,Average data-products (excl. Watson.),sd data-products (excl. Watson.)
1959,0.918022208,0.4,,0.93029,1.08,0.59,0.811721966,0.93,1.0847,0.341,0.67,,0.804713996,0.25772915,,,,,,,,,,,
1960,0.899128548,0.4,,0.88225,1.07,0.53,0.691512679,0.92,1.0558,0.487,0.65,,0.785820335,0.227730636,,,,,,,,,,,
1961,0.754059887,0.4,,0.61271,0.93,0.43,0.571303392,0.74,0.983,0.309,0.55,,0.640751674,0.232676799,,,,,,,,,,,
1962,0.800368726,0.4,,0.72389,0.93,0.23,0.601094105,0.85,1.1505,0.381,0.63,,0.687060513,0.296388962,,,,,,,,,,,
1963,0.981130065,0.4,,0.86579,0.98,0.49,0.800884818,1.1,1.3289,0.587,0.79,,0.867821852,0.270247212,,,,,,,,,,,
1964,1.176316404,0.4,,0.97669,1.27,0.79,0.960675531,1.3,1.4277,0.809,0.97,,1.063008191,0.238338835,,,,,,,,,,,
1965,1.270941493,0.4,,1.0669,1.18,0.98,1.050466244,1.6,1.6067,0.807,0.97,,1.15763328,0.29453846,,,,,,,,,,,
1966,1.239891582,0.4,,1.05911,1.21,0.9,0.940256957,1.55,1.6083,0.825,0.92,,1.12658337,0.30296872,,,,,,,,,,,
1967,1.105465421,0.4,,0.82911,1.16,0.77,0.830047669,1.36,1.4321,0.646,0.91,,0.992157209,0.289290146,,,,,,,,,,,
1968,1.11327176,0.4,,0.98267,1.08,0.61,0.929838382,1.24,1.4952,0.772,0.89,,0.999963548,0.275325784,,,,,,,,,,,
1969,1.19702185,0.4,,1.07288,1.12,0.72,0.969629095,1.4,1.6032,0.934,0.85,,1.083713637,0.291223121,,,,,,,,,,,
1970,1.092049439,0.4,,0.88381,1.15,0.76,0.799419808,1.1,1.4887,0.818,0.83,,0.978741226,0.251017568,,,,,,,,,,,
1971,1.146879528,0.4,,0.96516,1.21,0.61,0.829210521,1.19,1.5372,0.897,1.03,,1.033571315,0.281262319,,,,,,,,,,,
1972,1.386105867,0.4,,1.34688,1.3,0.9,1.189001234,1.46,1.7885,1.158,1.04,,1.272797654,0.272709937,,,,,,,,,,,
1973,1.340277206,0.4,,1.13786,1.36,0.98,1.008791947,1.3,1.8471,1.142,1.04,,1.226968993,0.284430684,,,,,,,,,,,
1974,1.262374795,0.4,,0.91885,1.34,0.78,0.97858266,1.3,1.7951,1,1.08,,1.149066582,0.32112776,,,,,,,,,,,
1975,1.205952384,0.4,,0.83978,1.18,0.72,0.838373373,1.36,1.743,0.87,1.19,,1.092644172,0.344047147,,,,,,,,,,,
1976,1.330384973,0.4,,1.12105,1.25,0.76,0.988164086,1.55,1.8934,1.034,1.14,,1.217076761,0.354427948,,,,,,,,,,,
1977,1.448340062,0.4,,1.2313,1.35,0.99,1.147954798,1.61,1.956,1.145,1.25,,1.33503185,0.309280407,,,,,,,,,,,
