Year,Fires,Acres
1983,18229,1323666
1984,20493,1148409
1985,82591,2896147
1986,85907,2719162
1987,71300,2447296
1988,72750,5009290
1989,48949,1827310
1990,66481,4621621
1991,75754,2953578
1992,87394,2069929
1993,58810,1797574
1994,79107,4073579
1995,82234,1840546
1996,96363,6065998
1997,66196,2856959
1998,81043,1329704
1999,92487,5626093
2000,92250,7393493
2001,84079,3570911
2002,73457,7184712
2003,63629,3960842
2004,65461,8097880
2005,66753,8689389
2006,96385,9873745
2007,85705,9328045
2008,78979,5292468
2009,78792,5921786
2010,71971,3422724
2011,74126,8711367
2012,67774,9326238
2013,47579,4319546
2014,63312,3595613
2015,68151,10125149
2016,67743,5509995
2017,71499,10026086
2018,58083,8767492
2019,50477,4664364
2020,58950,10122336
