,Year,Fires,Acres,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
0,1983,18229,1323666,5.185052281,1.27215875,3.9294,1.954880597,0.291176471,0.047107128,0.234646835
1,1984,20493,1148409,5.364824474,1.411811426,2.61252,1.840390686,2.67,0.048557117,-0.394831903
2,1985,82591,2896147,5.545164717,1.337713242,3.48336,1.723412025,2.547647059,0.049960639,-0.921501764
3,1986,85907,2719162,5.627626544,1.317746651,2.124,1.754049614,2.161176471,0.052336417,0.853810694
4,1987,71300,2447296,5.804092395,1.263665666,5.64984,1.850043454,0.381176471,0.054798024,-0.868099888
5,1988,72750,5009290,6.032041345,1.229257241,4.63032,1.768017293,2.071764706,0.058076626,-1.266880038
6,1989,48949,1827310,6.115401888,1.188241,3.14352,1.738237382,3.412352941,0.058036534,-1.048503969
7,1990,66481,4621621,6.208944967,1.173356413,2.5488,1.917606955,2.225882353,0.05750387,0.632508202
8,1991,75754,2953578,6.342276787,1.149586755,1.593,2.003816801,2.023529412,0.061053217,1.810464112
9,1992,87394,2069929,6.159831954,1.198579849,1.50804,2.167586131,2.123529412,0.061916219,1.497340042
10,1993,58810,1797574,6.223661394,1.17172269,2.63376,2.118310805,2.816470588,0.066167605,-0.239324915
11,1994,79107,4073579,6.267626463,1.314115346,3.52584,1.976489562,1.484705882,0.069813709,0.524892655
12,1995,82234,1840546,6.401185713,1.300821215,4.22676,1.950802342,1.59,0.073664287,-0.139219701
13,1996,96363,6065998,6.592511246,1.321238411,2.25144,1.952112999,3.061764706,0.076577975,0.571853977
14,1997,66196,2856959,6.632246297,1.820590213,4.20552,2.068941793,3.058235294,0.079486562,-0.959347139
15,1998,81043,1329704,6.606515085,1.401314946,6.03216,2.135530976,1.57,0.080461869,-1.810322814
16,1999,92487,5626093,6.69185652,1.384558442,2.84616,1.947954785,3.381176471,0.083429614,-0.182305908
17,2000,92250,7393493,6.887065298,1.238342403,2.63376,1.871352872,3.516470588,0.086772776,0.017051464
18,2001,84079,3570911,6.946248498,1.136712284,3.90816,1.791572012,2.402941176,0.089617012,-0.109329419
19,2002,73457,7184712,7.106766233,1.287697919,5.05512,2.129743961,1.020588235,0.094394431,0.094617524
20,2003,63629,3960842,7.469083868,1.39010841,4.86396,2.265832692,2.164117647,0.101384393,-0.536102455
21,2004,65461,8097880,7.81319133,1.248988591,3.2922,2.21097463,3.257647059,0.108448523,0.192909709
22,2005,66753,8689389,8.079360588,1.118971864,5.22504,2.24537541,1.875882353,0.116054763,-0.264020073
23,2006,96385,9873745,8.347033319,1.266371146,3.78072,2.346096343,2.939411765,0.126380984,0.420795374
24,2007,85705,9328045,8.59545349,1.104420304,4.50288,2.31720572,2.63,0.136211088,0.113576986
25,2008,78979,5292468,8.752577513,1.129604554,3.75948,2.307114317,3.358235294,0.140967478,0.316384978
26,2009,78792,5921786,8.626376204,1.23614657,3.35592,2.448430246,2.671764706,0.148333776,1.238074046
27,2010,71971,3422724,9.100245757,1.167811518,5.11884,2.440602218,3.107058824,0.157597333,-0.5560411
28,2011,74126,8711367,9.407328342,1.318542013,3.58956,2.490190306,3.941176471,0.170529021,0.534414558
29,2012,67774,9326238,9.545326186,1.276320911,5.11884,2.550226747,2.391176471,0.177551055,0.583852824
30,2013,47579,4319546,9.629646682,1.17816299,5.18256,2.601800191,3.257647059,0.185995765,-0.420193343
31,2014,63312,3595613,9.698264998,1.245549891,4.3542,2.720979862,3.604117647,0.194189293,0.070328087
32,2015,68151,10125149,9.687883826,1.301011407,6.2658,2.785053571,2.146470588,0.196215146,-0.404644072
33,2016,67743,5509995,9.675889546,1.010800906,6.01092,2.93415469,2.8,0.199106369,-1.257490607
34,2017,71499,10026086,9.805059412,0.999694137,4.5666,2.839219869,3.524705882,0.203693613,-0.329465816
35,2018,58083,8767492,10.00167571,1.052821699,5.11884,2.907691446,3.346470588,0.210855607,-0.529360237
36,2019,50477,4664364,10.01705865,1.04405313,5.39496,2.97397468,2.692352941,0.215297542,-0.215473381
37,2020,58950,10122336,9.499797789,0.876089782,5.01264,2.994930931,2.924705882,0.218773919,-0.775163161
